Rendszam	Nev	Vegyjel	Molaris_atomtomeg	Atomsugar	Elektronegativitas	Gyakorisag	Felfedezes
89	aktínium	Ac	227	118	1,1		1899		
13	alumínium	Al	26,98	143	1,5	0,0751	1825		
95	americum	Am	243	173	1,3		1944		
51	antimon	Sb	121	159	1,9		középkor		
79	arany	Au	196,97	146	2,4		ókor		
18	argon	Ar	39,95		0		1894		
33	arzén	As	74,92	139	2		középkor		
85	asztácium	At	210		2,2		1940		
56	bárium	Ba	137,34	222	0,9	0,00047	1808		
4	berílium	Be	9,01	112	1,5		1798		
97	berkélium	Bk	249				1950		
83	bizmut	Bi	208,98	170	1,9		középkor		
5	bór	B	10,81	98	2		1808		
35	bróm	Br	79,9		2,8		1826		
58	cérium	Ce	140,12	181	1,1		1803		
55	cézium	Cs	132,91	267	0,7		1860		
30	cink	Zn	65,37	138	1,6	0,0002	középkor		
40	cirkónium	Zr	91,22	160	1,4	0,00023	1789		
66	diszprózium	Dy	162,5	180			1886		
99	einsteinium	Es	254				1952		
68	erbium	Er	167,26	178	1,2		1843		
63	európium	Eu	151,96	199			1896		
47	ezüst	Ag	107,87	144	1,9		ókor		
100	fermium	Fm	253				1953		
9	fluor	F	19		4	0,00027	1886		
15	foszfor	P	30,97	128	2,1	0,0012	1669		
87	francium	Fr	223		0,7		1939		
64	gadolínium	Gd	157,25	179	1,1		1880		
31	gallium	Ga	69,72	141	1,6		1875		
32	germánium	Ge	72,59	137	1,8		1886		
72	hafnium	Hf	261				1922		
105	hánium	Ha	178,49	167	1,3		1970		
2	hélium	He	4		0		1895		
1	hidrogén	H	1,01		2,1	0,00088	1766		
80	higany	Hg	200,59	157	1,9		ókor		
67	holmium	Ho	164,93	179	1,2		1879		
49	indium	In	114,82	166	1,7		1863		
77	irídium	Ir	192,2	136	2,2		1803		
70	itterbium	Yb	173,04	194	1,1		1878		
39	ittírium	Y	88,91	178			1828		
53	jód	I	126,9		2,5		1811		
48	kadmium	Cd	112,4	154	1,7		1817		
20	kalcium	Ca	40,08	197	1	0,0339	1808		
98	kalifornium	Cf	251				1950		
19	kálium	K	39,1	235	0,8	0,024	1807		
16	kén	S	32,06	127	2,5	0,00048	ókor		
17	klór	Cl	35,45		3	0,0019	1774		
27	kobalt	Co	58,93	125	1,8		1735		
36	kripton	Kr	83,8		0		1898		
24	króm	Cr	51,99	130	1,6	0,00033	1797		
104	kurcsatóvium	Ku	260				1964		
96	kûrium	Cm	247				1944		
57	lantán	La	138,91	187	1,1		1839		
103	laurencium	Lr	257				1961		
3	lítium	Li	6,94	155	1		1817		
71	lutécium	Lu	174,97	175	1,2		1907		
12	magnézium	Mg	24,31	160	1,2	0,0194	1808		
25	mangán	Mn	54,94	135	1,5	0,00085	1774		
101	mendelévium	Md	256				1955		
42	molibdén	Mo	95,94	139	1,8		1778		
11	nátrium	Na	22,99	190	0,9	0,0264	1807		
60	neodímium	Nd	144,24	182	1,2		1885		
10	neon	Ne	20,18		0		1898		
93	neptúnium	Np	237	130	1,3		1940		
28	nikkel	Ni	58,71	124	1,8	0,00018	1751		
41	nióbium	Nb	92,91	146	1,6		1801		
7	nitrogén	N	14	92	3	0,0003	1772		
102	nobélium	No	254				1958		
82	ólom	Pb	207,19	175	1,8		ókor		
50	ón	Sn	118,69	162	1,8		ókor		
8	oxigén	O	16		3,5	0,494	1774		
76	ozmium	Os	190,2	135	2,2		1803		
46	palládium	Pd	106,4	137	2,2		1803		
78	platina	Pt	195,09	139	2,2		1735		
94	plutónium	Pu	242	151	1,3		1940		
84	polónium	Po	210	176	2		1898		
59	prazeodímium	Pr	140,91	182	1,1		1885		
61	promécium	Pm	147				1945		
91	protaktínium	Pa	231	161	1,5		1917		
88	rádium	Ra	226		1,1		1898		
86	radon	Rn	222		0		1900		
75	rénium	Re	186,2	137	1,9		1925		
29	réz	Cu	63,55	128	1,9	0,0001	ókor		
45	ródium	Rh	102,91	134	2,2		1804		
37	rubídium	Rb	85,47	248	0,8		1860		
44	ruténium	Ru	101,07	134	2,2		1844		
38	stroncium	Sr	87,62	215	1	0,00017	1808		
62	szamárium	Sm	150,35	181	1,2		1879		
34	szelén	Se	78,96	140	2,4		1817		
6	szén	C	12,01	91,4	2,5	0,00087	ókor		
14	szilícium	Si	28,09	132	1,8	0,2575	1824		
21	szkandium	Sc	44,96	162	1,3		1879		
81	tallium	Tl	204,37	171	1,8		1861		
73	tantál	Ta	180,95	149	1,5		1802		
43	technécium	Tc	99	136	1,9		1937		
52	tellúr	Te	127,6	160	2,1		1782		
65	terbium	Tb	158,92	180	1,2		1843		
22	titán	Ti	47,9	147	1,5	0,0058	1791		
90	tórium	Th	232,04	180	1,3		1828		
69	túlium	Tm	168,93	171	1,2		1879		
92	urán	U	238,03	138	1,7		1789		
23	vanádium	V	50,94	134	1,6	0,00016	1801		
26	vas	Fe	55,85	126	1,8	0,047	ókor		
74	volfrám	W	183,85	141	1,7		1783		
54	xenon	Xe	131,3		0		1898		
