Átlag vizszint: 11,87777777777777

      7,30 	     -4,578
     12,70 	      0,822
      9,90 	     -1,978
      7,60 	     -4,278
      6,40 	     -5,478
      7,20 	     -4,678
     13,30 	      1,422
      8,90 	     -2,978
     17,40 	      5,522
     12,40 	      0,522
     13,00 	      1,122
     14,30 	      2,422
     14,40 	      2,522
     15,90 	      4,022
     10,30 	     -1,578
     16,20 	      4,322
      8,30 	     -3,578
     15,70 	      3,822
     16,50 	      4,622
     10,70 	     -1,178
      7,20 	     -4,678
      8,80 	     -3,078
      9,80 	     -2,078
     12,10 	      0,222
     12,00 	      0,122
     17,20 	      5,322
     10,40 	     -1,478
      6,20 	     -5,678
     12,80 	      0,922
     16,80 	      4,922
     11,00 	     -0,878
     13,90 	      2,022
      7,50 	     -4,378
      6,00 	     -5,878
     12,00 	      0,122
     14,00 	      2,122
     11,20 	     -0,678
      9,00 	     -2,878
     16,30 	      4,422
      9,00 	     -2,878
     17,60 	      5,722
     16,70 	      4,822
      8,60 	     -3,278
     14,00 	      2,122
      7,80 	     -4,078
      9,50 	     -2,378
     15,00 	      3,122
     14,40 	      2,522
      9,40 	     -2,478
      7,00 	     -4,878
     11,80 	     -0,078
     15,80 	      3,922
     13,80 	      1,922
     15,80 	      3,922
     12,80 	      0,922
     16,40 	      4,522
      8,90 	     -2,978
     15,80 	      3,922
     13,60 	      1,722
      7,30 	     -4,578
     14,80 	      2,922
     13,00 	      1,122
     14,10 	      2,222
      6,60 	     -5,278
      7,50 	     -4,378
     17,10 	      5,222
     12,80 	      0,922
     14,40 	      2,522
      9,90 	     -1,978
     14,30 	      2,422
     11,00 	     -0,878
     17,30 	      5,422
     17,30 	      5,422
     13,50 	      1,622
     11,10 	     -0,778
      8,50 	     -3,378
      6,20 	     -5,678
     13,80 	      1,922
     10,30 	     -1,578
      8,50 	     -3,378
      8,10 	     -3,778
     14,00 	      2,122
     14,80 	      2,922
     11,80 	     -0,078
     11,10 	     -0,778
     13,10 	      1,222
      6,10 	     -5,778
      9,70 	     -2,178
     11,20 	     -0,678
     13,50 	      1,622
