2020;53;2021.01.02.;0;0 Ft;20;2 441 725 Ft;2279;23 215 Ft;67548;2 050 Ft;7;45;65;86;88
2020;52;2020.12.26.;0;0 Ft;21;2 067 730 Ft;2289;20 550 Ft;66201;1 860 Ft;11;14;22;48;85
2020;51;2020.12.19.;1;3 959 964 415 Ft;66;934 325 Ft;5254;12 640 Ft;122711;1 410 Ft;2;19;27;29;86
2020;50;2020.12.12.;0;0 Ft;87;689 895 Ft;4893;13 210 Ft;106942;1 575 Ft;7;37;39;67;72
2020;49;2020.12.05.;0;0 Ft;74;781 150 Ft;5460;11 400 Ft;122280;1 325 Ft;4;7;28;58;77
2020;48;2020.11.28.;0;0 Ft;35;1 599 670 Ft;3410;17 680 Ft;83740;1 875 Ft;38;43;48;64;75
2020;47;2020.11.21.;0;0 Ft;43;1 316 115 Ft;3492;17 455 Ft;90086;1 765 Ft;15;32;42;54;75
2020;46;2020.11.14.;0;0 Ft;41;1 533 055 Ft;3707;18 260 Ft;107291;1 645 Ft;8;13;30;61;68
2020;45;2020.11.07.;0;0 Ft;49;1 125 315 Ft;3394;17 495 Ft;82317;1 880 Ft;15;37;65;68;73
2020;44;2020.10.31.;0;0 Ft;10;5 322 625 Ft;1958;29 275 Ft;76797;1 945 Ft;3;62;71;77;78
2020;43;2020.10.24.;0;0 Ft;25;2 120 500 Ft;2818;20 260 Ft;89709;1 660 Ft;1;12;54;55;67
2020;42;2020.10.17.;0;0 Ft;45;1 196 240 Ft;3312;17 505 Ft;84938;1 780 Ft;4;15;48;64;88
2020;41;2020.10.10.;0;0 Ft;61;889 205 Ft;4442;12 720 Ft;113248;1 315 Ft;3;12;27;38;47
2020;40;2020.10.03.;0;0 Ft;29;1 772 490 Ft;3187;16 800 Ft;75378;1 875 Ft;20;36;54;72;76
2020;39;2020.09.26.;0;0 Ft;82;615 445 Ft;2765;19 840 Ft;76280;1 870 Ft;8;23;72;80;90
2020;38;2020.09.19.;0;0 Ft;53;959 100 Ft;3614;15 290 Ft;90478;1 590 Ft;5;24;28;34;58
2020;37;2020.09.12.;0;0 Ft;18;2 862 020 Ft;2018;26 640 Ft;65183;2 165 Ft;2;24;61;75;85
2020;36;2020.09.05.;0;0 Ft;22;2 238 145 Ft;2371;21 670 Ft;73035;1 845 Ft;11;15;16;27;60
2020;35;2020.08.29.;0;0 Ft;19;2 449 835 Ft;1998;25 415 Ft;59944;2 190 Ft;34;50;55;63;66
